1,Fri Jul 19 2019,Club Puebla,1-3,Club Tijuana
1,Fri Jul 19 2019,Club Atlas,1-0,FC Juárez
1,Sat Jul 20 2019,CF Pachuca,1-3,Club León
1,Sat Jul 20 2019,Atlético San Luis,0-2,Pumas UNAM
1,Sat Jul 20 2019,Club América,4-2,CF Monterrey
1,Sat Jul 20 2019,Tigres UANL,4-2,Monarcas Morelia
1,Sat Jul 20 2019,Club Necaxa,0-0,Cruz Azul
1,Sun Jul 21 2019,Deportivo Toluca FC,0-2,Querétaro FC
1,Sun Jul 21 2019,Santos Laguna,3-0,CD Guadalajara Chivas
2,Fri Jul 26 2019,Monarcas Morelia,0-1,Club Atlas
2,Fri Jul 26 2019,Tiburones Rojos Veracruz,3-3,CF Pachuca
2,Sat Jul 27 2019,Club León,0-0,Club América
2,Sat Jul 27 2019,Club Tijuana,1-1,Querétaro FC
2,Sat Jul 27 2019,Cruz Azul,1-1,Deportivo Toluca FC
2,Sun Jul 28 2019,Pumas UNAM,2-0,Club Necaxa
2,Sun Jul 28 2019,Atlético San Luis,1-0,CF Monterrey
2,Sun Jul 28 2019,CD Guadalajara Chivas,2-0,Tigres UANL
2,Sun Jul 28 2019,Santos Laguna,3-0,FC Juárez
3,Fri Aug 2 2019,Club Puebla,1-1,CD Guadalajara Chivas
3,Fri Aug 2 2019,Club Atlas,1-2,Santos Laguna
3,Sat Aug 3 2019,Querétaro FC,3-0,Cruz Azul
3,Sat Aug 3 2019,Club América,3-1,Club Tijuana
3,Sat Aug 3 2019,CF Monterrey,3-2,Club León
3,Sat Aug 3 2019,Club Necaxa,7-0,Tiburones Rojos Veracruz
3,Sat Aug 3 2019,CF Pachuca,1-2,Monarcas Morelia
3,Sun Aug 4 2019,Pumas UNAM,0-1,Tigres UANL
3,Sun Aug 4 2019,FC Juárez,2-0,Deportivo Toluca FC
4,Fri Aug 9 2019,Monarcas Morelia,0-1,CF Monterrey
4,Fri Aug 9 2019,Tiburones Rojos Veracruz,1-2,Club Atlas
4,Fri Aug 9 2019,Club Tijuana,1-0,Pumas UNAM
4,Sat Aug 10 2019,CD Guadalajara Chivas,3-0,Atlético San Luis
4,Sat Aug 10 2019,Cruz Azul,2-0,FC Juárez
4,Sat Aug 10 2019,Tigres UANL,3-1,Club Necaxa
4,Sat Aug 10 2019,Querétaro FC,2-1,CF Pachuca
4,Sun Aug 11 2019,Santos Laguna,4-1,Club Puebla
4,Sun Aug 11 2019,Deportivo Toluca FC,0-1,Club América
5,Fri Aug 16 2019,Club Puebla,0-4,CF Pachuca
5,Fri Aug 16 2019,Club Atlas,1-3,Cruz Azul
5,Sat Aug 17 2019,Atlético San Luis,1-1,Tigres UANL
5,Sat Aug 17 2019,Club León,4-3,CD Guadalajara Chivas
5,Sat Aug 17 2019,CF Monterrey,2-0,Deportivo Toluca FC
5,Sat Aug 17 2019,Club América,1-0,Monarcas Morelia
5,Sun Aug 18 2019,Pumas UNAM,2-0,Tiburones Rojos Veracruz
5,Sun Aug 18 2019,FC Juárez,0-2,Querétaro FC
5,Sun Aug 18 2019,Club Necaxa,3-0,Santos Laguna
6,Fri Aug 23 2019,Tiburones Rojos Veracruz,1-2,Atlético San Luis
6,Fri Aug 23 2019,Monarcas Morelia,2-0,Pumas UNAM
6,Fri Aug 23 2019,Santos Laguna,2-1,CF Monterrey
6,Sat Aug 24 2019,Querétaro FC,0-4,Club León
6,Sat Aug 24 2019,CF Pachuca,3-1,Club Atlas
6,Sat Aug 24 2019,Cruz Azul,1-1,Club Puebla
6,Sat Aug 24 2019,Tigres UANL,1-1,Club América
6,Sun Aug 25 2019,Deportivo Toluca FC,2-0,Club Tijuana
6,Sun Aug 25 2019,CD Guadalajara Chivas,1-2,Club Necaxa
7,Tue Aug 27 2019,Tiburones Rojos Veracruz,0-5,Querétaro FC
7,Tue Aug 27 2019,Atlético San Luis,1-1,Monarcas Morelia
7,Tue Aug 27 2019,Club América,1-1,CF Pachuca
7,Tue Aug 27 2019,Club Atlas,1-1,Tigres UANL
7,Wed Aug 28 2019,Club León,2-2,Santos Laguna
7,Wed Aug 28 2019,Club Necaxa,1-1,Deportivo Toluca FC
7,Wed Aug 28 2019,Club Tijuana,3-2,Cruz Azul
7,Thu Aug 29 2019,CF Monterrey,2-0,Pumas UNAM
7,Thu Aug 29 2019,Club Puebla,2-1,FC Juárez
8,Fri Aug 30 2019,Club Atlas,3-0,Club América
8,Fri Aug 30 2019,Monarcas Morelia,1-0,Tiburones Rojos Veracruz
8,Sat Aug 31 2019,Club Necaxa,3-2,Club Tijuana
8,Sat Aug 31 2019,Cruz Azul,1-1,CD Guadalajara Chivas
8,Sat Aug 31 2019,CF Pachuca,0-2,Atlético San Luis
8,Sat Aug 31 2019,Tigres UANL,1-1,Club León
8,Sun Sep 1 2019,Pumas UNAM,2-1,Deportivo Toluca FC
8,Sun Sep 1 2019,Querétaro FC,1-1,Club Puebla
8,Sun Sep 1 2019,FC Juárez,1-0,CF Monterrey
9,Fri Sep 13 2019,Club Puebla,1-3,Atlético San Luis
9,Fri Sep 13 2019,Club Tijuana,1-1,Tigres UANL
9,Fri Sep 13 2019,Tiburones Rojos Veracruz,0-0,Cruz Azul
9,Sat Sep 14 2019,CF Monterrey,0-2,Club Necaxa
9,Sat Sep 14 2019,Club León,3-1,FC Juárez
9,Sat Sep 14 2019,CD Guadalajara Chivas,1-0,Club Atlas
9,Sat Sep 14 2019,Club América,1-1,Pumas UNAM
9,Sun Sep 15 2019,Deportivo Toluca FC,0-2,Monarcas Morelia
9,Sun Sep 15 2019,Santos Laguna,2-2,CF Pachuca
10,Fri Sep 20 2019,Monarcas Morelia,1-0,CD Guadalajara Chivas
10,Fri Sep 20 2019,Club Atlas,0-1,Deportivo Toluca FC
10,Sat Sep 21 2019,Atlético San Luis,2-3,Santos Laguna
10,Sat Sep 21 2019,Club Necaxa,2-4,Club León
10,Sat Sep 21 2019,Club América,2-2,Querétaro FC
10,Sat Sep 21 2019,CF Pachuca,4-1,Club Tijuana
10,Sat Sep 21 2019,CF Monterrey,3-2,Club Puebla
10,Sun Sep 22 2019,Pumas UNAM,1-1,Cruz Azul
10,Sun Sep 22 2019,FC Juárez,2-0,Tiburones Rojos Veracruz
11,Tue Sep 24 2019,Querétaro FC,1-2,Club Necaxa
11,Tue Sep 24 2019,Tigres UANL,0-1,Club Puebla
11,Tue Sep 24 2019,Club León,1-1,Club Atlas
11,Tue Sep 24 2019,CD Guadalajara Chivas,2-4,CF Pachuca
11,Wed Sep 25 2019,Club Tijuana,3-2,Monarcas Morelia
11,Wed Sep 25 2019,Santos Laguna,5-0,Tiburones Rojos Veracruz
11,Wed Sep 25 2019,Cruz Azul,1-1,CF Monterrey
11,Wed Sep 25 2019,FC Juárez,1-1,Club América
11,Thu Sep 26 2019,Deportivo Toluca FC,3-1,Atlético San Luis
12,Fri Sep 27 2019,Club Puebla,2-1,Club León
12,Fri Sep 27 2019,Club Atlas,2-0,Querétaro FC
12,Sat Sep 28 2019,CF Pachuca,2-0,Cruz Azul
12,Sat Sep 28 2019,Club Necaxa,0-0,FC Juárez
12,Sat Sep 28 2019,CF Monterrey,0-2,Tigres UANL
12,Sat Sep 28 2019,Club América,4-1,CD Guadalajara Chivas
12,Sun Sep 29 2019,Pumas UNAM,2-0,Santos Laguna
12,Sun Sep 29 2019,Atlético San Luis,2-3,Club Tijuana
12,Sun Sep 29 2019,Tiburones Rojos Veracruz,1-1,Deportivo Toluca FC
13,Fri Oct 4 2019,Monarcas Morelia,2-3,Club Necaxa
13,Sat Oct 5 2019,Club Tijuana,2-2,Club Atlas
